id,formattedAddress,location,rating,websiteUri,userRatingCount,displayName,primaryType
ChIJyfzAdA9zVo8RXxYerCHqn8s,"Sambulá, 97250 Mérida, Yuc., Mexico","{'latitude': 20.952609, 'longitude': -89.6529956}",4.6,,16.0,"{'text': 'La Lupita | Tlapalería', 'languageCode': 'es'}",hardware_store
ChIJC7I9tExyVo8RQM1KD1zhRVE,"por Av Itzaes, Cto. Colonias 760, Nueva Sambulá, 97250 Mérida, Yuc., Mexico","{'latitude': 20.9499135, 'longitude': -89.6496191}",4.6,,42.0,"{'text': 'TLAPALERIA AEROPUERTO', 'languageCode': 'es'}",hardware_store
ChIJaWqvTZ9zVo8RlUcIyhdMPug,"Cto. Colonias 665a, Sambulá, 97259 Mérida, Yuc., Mexico","{'latitude': 20.956213899999998, 'longitude': -89.6482822}",4.0,,24.0,"{'text': 'SAN MARTIN FERRETERÍA', 'languageCode': 'es'}",hardware_store
ChIJIYdYFrVzVo8RmJX2YohpcOc,"C. 92 S/N, Sambulá, 97260 Mérida, Yuc., Mexico","{'latitude': 20.9519786, 'longitude': -89.6455611}",5.0,,4.0,"{'text': 'Ferrotlapalería', 'languageCode': 'es'}",hardware_store
ChIJMQYGDLRzVo8RaRAg8SANZwY,"Sambulá, 97250 Merida, Yucatan, Mexico","{'latitude': 20.9550899, 'longitude': -89.6483925}",4.5,,31.0,"{'text': 'Gearwrench', 'languageCode': 'es'}",hardware_store
ChIJh4s6ELVzVo8R-UWwQwyFmqY,"Av. Itzaes #619 Por Calle 90 y 92, Sambulá, 97259 Mérida, Yuc., Mexico","{'latitude': 20.9526529, 'longitude': -89.64578589999999}",4.7,https://www.plaforama.com/,121.0,"{'text': 'Plaforama Mérida Aviación', 'languageCode': 'es'}",store
ChIJgVEMGrpzVo8ROsbH8rGHhKo,"C. 90 522R, Centro, 97000 Centro, Yuc., Mexico","{'latitude': 20.955483299999997, 'longitude': -89.6420163}",5.0,,1.0,"{'text': 'FERRETERÍA ""EL CLAVÓN DE FIERRO""', 'languageCode': 'es'}",hardware_store
ChIJ6XOj3hZzVo8RJAUrHs9sW-8,"C. 22 426-Por 47 y 49A, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9656007, 'longitude': -89.67783460000001}",4.3,,19.0,"{'text': 'FERROTLAPALERÍA ""Hernández""', 'languageCode': 'es'}",hardware_store
ChIJd30H_RtzVo8REj7qp6I9nIk,"Por la, C. 138 1014-67 y 73, Villa Magna, Cinturón Verde, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9568481, 'longitude': -89.67668370000001}",4.4,,10.0,"{'text': 'TLAPALERÍA CHUCHO', 'languageCode': 'es'}",hardware_store
ChIJI1aK2b9zVo8Rr1O3oINZqxU,"C. 22 535, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9598582, 'longitude': -89.67908039999999}",5.0,,3.0,"{'text': 'Tlapalería Borges', 'languageCode': 'es'}",hardware_store
ChIJn3rQpiJzVo8Re14A5zsPjsY,"C. 26 542, Juan Pablo II, 97246 Mérida, Yuc., Mexico","{'latitude': 20.9611479, 'longitude': -89.6817978}",,,,"{'text': 'Ferreteria Y Mas', 'languageCode': 'es'}",hardware_store
ChIJHeW8LARzVo8RinMIPw1QsKw,"por 69 y 69A, C. 124 1001, Nueva Mulsay II, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9592465, 'longitude': -89.6678946}",4.6,,14.0,"{'text': 'FERROMATERIALES HERNÁNDEZ', 'languageCode': 'es'}",hardware_store
ChIJf_3kLQRzVo8RKSWChCeSTRg,"X 124 Y 126, C. Sexagésima 1074, Nueva Mulsay II, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9589371, 'longitude': -89.66808440000001}",4.5,,77.0,"{'text': 'REFACCIONARIA ""GEVI""', 'languageCode': 'es'}",hardware_store
ChIJKwl81A5zVo8RNrU-38d_JTw,"por 126 y 122, C. 61ᴬ, Xoclán Canto, 97245 Mérida, Yuc., Mexico","{'latitude': 20.9655308, 'longitude': -89.6675904}",4.9,,23.0,"{'text': 'FERREKIN', 'languageCode': 'es'}",hardware_store
